"Vuosi";"Alue";"Rahoitusmuoto";"Luokka";"Neliövuokra, euroa/m2/kk";"Lukumäärä"
"2012";"Päijät-Hämeen maakunta";"Vapaarahoitteinen";"2h";10.38;2156
"2012";"Päijät-Hämeen maakunta";"Vapaarahoitteinen";"3h+";8.97;882
"2012";"Kymenlaakson maakunta";"Vapaarahoitteinen";"1h";11.66;1876
"2012";"Kymenlaakson maakunta";"Vapaarahoitteinen";"2h";9.47;1736
"2012";"Kymenlaakson maakunta";"Vapaarahoitteinen";"3h+";8.10;740
"2012";"Etelä-Karjalan maakunta";"Vapaarahoitteinen";"1h";12.44;1166
"2012";"Etelä-Karjalan maakunta";"Vapaarahoitteinen";"2h";9.94;1031
"2012";"Etelä-Karjalan maakunta";"Vapaarahoitteinen";"3h+";8.45;456
"2012";"Etelä-Savon maakunta";"Vapaarahoitteinen";"1h";11.47;1202
"2012";"Etelä-Savon maakunta";"Vapaarahoitteinen";"2h";9.52;1256
"2012";"Etelä-Savon maakunta";"Vapaarahoitteinen";"3h+";8.29;489
"2012";"Pohjois-Savon maakunta";"Vapaarahoitteinen";"1h";12.57;2382
"2012";"Pohjois-Savon maakunta";"Vapaarahoitteinen";"2h";10.20;2597
"2012";"Pohjois-Savon maakunta";"Vapaarahoitteinen";"3h+";8.85;1013
"2012";"Pohjois-Karjalan maakunta";"Vapaarahoitteinen";"1h";12.51;1714
"2012";"Pohjois-Karjalan maakunta";"Vapaarahoitteinen";"2h";9.45;1743
"2012";"Pohjois-Karjalan maakunta";"Vapaarahoitteinen";"3h+";8.36;708
"2012";"Keski-Suomen maakunta";"Vapaarahoitteinen";"1h";13.13;2590
"2012";"Keski-Suomen maakunta";"Vapaarahoitteinen";"2h";10.25;3094
"2012";"Keski-Suomen maakunta";"Vapaarahoitteinen";"3h+";8.92;1130
"2012";"Etelä-Pohjanmaan maakunta";"Vapaarahoitteinen";"1h";10.89;923
"2012";"Etelä-Pohjanmaan maakunta";"Vapaarahoitteinen";"2h";9.16;1324
"2012";"Etelä-Pohjanmaan maakunta";"Vapaarahoitteinen";"3h+";7.87;656
"2012";"Pohjanmaan maakunta";"Vapaarahoitteinen";"1h";12.11;986
"2012";"Pohjanmaan maakunta";"Vapaarahoitteinen";"2h";9.55;1173
"2012";"Pohjanmaan maakunta";"Vapaarahoitteinen";"3h+";8.02;594
"2012";"Keski-Pohjanmaan maakunta";"Vapaarahoitteinen";"1h";11.19;272
"2012";"Keski-Pohjanmaan maakunta";"Vapaarahoitteinen";"2h";9.42;443
"2012";"Keski-Pohjanmaan maakunta";"Vapaarahoitteinen";"3h+";8.28;258
"2012";"Pohjois-Pohjanmaan maakunta";"Vapaarahoitteinen";"1h";12.52;3188
"2012";"Pohjois-Pohjanmaan maakunta";"Vapaarahoitteinen";"2h";10.11;3648
"2012";"Pohjois-Pohjanmaan maakunta";"Vapaarahoitteinen";"3h+";8.98;1493
"2012";"Kainuun maakunta";"Vapaarahoitteinen";"1h";11.61;620
"2012";"Kainuun maakunta";"Vapaarahoitteinen";"2h";9.44;635
"2012";"Kainuun maakunta";"Vapaarahoitteinen";"3h+";8.18;304
